SHEETS: ['Resumen capítulo']

===== SHEET: Resumen capítulo  dims=A1:M38 max_row=38 max_col=13 =====
r1: [1]RESUMEN POR CAPÍTULO — 4.ESPACIO PUBLICO (Obra Ejecutada)
r3: [1]Generado: 02/06/2026 12:00 | Unión Temporal MURCON
r4: [1]Ítem | [2]Descripción | [3]Cant. ClaraCore | [4]Costo ClaraCore | [5]Cant. Cobrada | [6]Costo Cobrado | [7]Δ Cantidad | [8]Δ Costo | [9]Estado | [10]Aprobado
r25: [1]4.60. | [2]BORDE CONTENEDOR DE RAICES A 70 (INCLUYE SUMINISTRO E INSTALACIÓN INCLUYE BASE DE 3cm EN MORTERO 1:3 HECHO EN OBRA) | [3]2262.36 | [4]54296640 | [5]2325.36 | [6]55808640 | [7]-63 | [8]-1512000 | [9]Devolución | [10]54296640
r26: [1]4.62. | [2]PROTECTOR DE ARBOL DE DOS TUBOS TIPO M91 (Incluye Suministro e Instalación. No Incluye bases) | [3]341 | [4]50885725 | [5]526 | [6]78492350 | [7]-185 | [8]-27606625 | [9]Devolución | [10]0
r27: [1]8.08. | [2]RELLENO EN MATERIAL SELECCIONADO PROVENIENTE DE LA EXCAVACIÓN (Extendido manual Humedecimiento y Compactación) | [3]1015.83 | [4]20473087 | [5]2008.07 | [6]40470640 | [7]-992.2399999999999 | [8]-19997553 | [9]Devolución | [10]0
r28: [1]NP-006 | [2]ESTAMPADO PARA CONCRETO MR DE POMPEYANOS ACCESOS VEHICULARES A PREDIOS Y VÍAS (ACABADO Y CURADO SUMINISTRO Y MANO DE OBRA. INCLUYE JUEGO DE MOLDES COLOR ENDURECEDOR DE CUARZO DESMOLDANTE EN POLVO COLOR SELLADOR ACRÍLICO TRANSPARENTE SEMILUSTRE). | [3]2738.22 | [4]87253381 | [5]2384.15 | [6]75970814 | [7]354.0699999999997 | [8]11282567 | [9]Por cobrar | [10]13291848
r29: [1]NP-008 | [2]Subbase Granular Clase C.(SGBG-C) Con reciclado de concreto hidraulico. (suministro Extendido Manual  Humedecimiento y Compacatacion con vibrocompactador) | [3]15888.352 | [4]1931546977 | [5]15943.16 | [6]1938210485.5 | [7]-54.80799999999908 | [8]-6663508.5 | [9]Devolución | [10]803963084
r30: [1]NP-014 | [2]YARUMO H= 1.5m  (Incluye siembra caja tierra negra abono y tutor. Incluye transporte y disposición final de escombros en sitio autorizado (Distancia de transporte 28 Km). SUMINISTRO Y PLANTACION. | [3]79 | [4]19694463 | [5]80 | [6]19943760 | [7]-1 | [8]-249297 | [9]Devolución | [10]0
r31: [1]NP-015 | [2]FALSO PIMIENTO H=1.3M (incluye siembra tierra abono y tutor) Incluye  transporte y disposición final de escombros en sitio autorizado a 28 km). SUMINISTRO Y PLANTACION. | [3]27 | [4]5455053 | [5]29 | [6]5859131 | [7]-2 | [8]-404078 | [9]Devolución | [10]0
r32: [1]NP-066 | [2]LIQUIDAMBAR H=2.5m (Incluye excavación manual siembra caja tierra abono tutor transporte y disposición final de escombros en sitio autorizado a 28 Km). SUMINISTRO Y PLANTACION. | [3]8 | [4]1517424 | [5]12 | [6]2276136 | [7]-4 | [8]-758712 | [9]Devolución | [10]0
r33: [1]NP-198 | [2]SUMINISTRO DE Abutilon insigne ALTURA MINIMA 1 m | [3]7 | [4]1245293 | [5]10 | [6]1778990 | [7]-3 | [8]-533697 | [9]Devolución | [10]0
r34: [1]NP-362 | [2]LIGUSTRO  H=1.5mt (Incluye tierra abono tutor transporte y disposición final de escombros a 28 km). SUMINISTRO Y PLANTACION. | [3]102 | [4]13663614 | [5]128 | [6]17146496 | [7]-26 | [8]-3482882 | [9]Devolución | [10]0
r35: [1]NP-363 | [2]CALISTEMO  H=1.5mt (Incluye tierra abono tutor transporte y disposición final de escombros a 28 km). SUMINISTRO Y PLANTACION. | [3]5 | [4]751835 | [5]19 | [6]2856973 | [7]-14 | [8]-2105138 | [9]Devolución | [10]0
r36: [1]NP-364 | [2]MANGLE DE TIERRA FRIA   H=1.5mt (Incluye tierra abono tutor transporte y disposición final de escombros a 28 km). SUMINISTRO Y PLANTACION. | [3]24 | [4]3760944 | [5]27 | [6]4231062 | [7]-3 | [8]-470118 | [9]Devolución | [10]0
r37: [1]NP-365 | [2]PINO COLOMBIANO   H=1.5mt (Incluye tierra abono tutor transporte y disposición final de escombros a 28 km). SUMINISTRO Y PLANTACION. | [3]5 | [4]756935 | [5]5 | [6]756935 | [7]0 | [8]0 | [9]Equilibrio | [10]0
r38: [1]TOTALES CAPÍTULO | [3]110416.675 | [4]5294670508 | [5]113122.265 | [6]5453034011.81 | [7]-2705.589999999999 | [8]-158363503.81 | [10]2603646945
