registro;acta;semana;capitulo;competencia;abs_inicial;abs_final;civ;item;descripcion;und;longitud;ancho;espesor;cantidad;valor_unitario;costo_directo;calzada;tramo_inicio;tramo_final;pk_id;tramo;observaciones;contrato_id
6154;12;57;10.GAS NATURAL;IDU;1550;1550;1006975;NP-089;SUBBASE GRANULAR  (SBG_C) Para redes sacas(Suministro, Extendido Manual, Humedecimiento y Compactación);M3;15.7;0.3;0.05;0.24;102692;24646;ORIENTAL;CLL185B;CLL185C;91062385;TRAMO 2;-;2
6155;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;1 200.00;1 200.00;1001035;7.41.;CILINDRO POZO INSP. EN MAMPOSTERIA e=0.37m  (Inc. Sumin. y Const, Acero para Escaleras, Geotextil y Pañete Impermeab.);ML;1.25;0;0;1.25;661128;826410;OCCIDENTAL;PZ4;-;91062414;TRAMO 1;construccion de pozo aguas lluvias para alcantarillado pluvial;2
6156;12;57;1.PRELIMINARES;IDU;1212;1220;1006372;1.02.;EXCAVACION MECANICA EN MATERIAL COMUN (Incluye Cargue);M3;8;1;0.3;2.4;4819;11566;OCCIDENTAL;PZ4;PZ3;91062407;TRAMO 1;excavación mecanica para instalación de tuberia en concreto reforzado para alcantarillado pluvial;2
6157;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;1212;1220;1006372;NP-177;"RELLENO EN TRITURADO DE 3/4"" (INCLUYE TRANSPORTE, SUMINISTRO, EXTENDIDO A MAQUINA Y COLOCACION)";M3;8;1;0.1;0.8;93985;75188;OCCIDENTAL;PZ4;PZ3;91062407;TRAMO 1;cama de triturado para tuberia de alcantarillado pluvial;2
6158;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;1212;1220;1006372;7.16.;"TUBERIA CONCRETO ALTA RESISTENCIA D= 12"" (INCLUYE SUMINISTRO, INSTALACIÓN Y MORTERO 2000 PSI PARA RECUBRIMIENTO DE JUNTA).";ML;8;0;0;8;236035;1888280;OCCIDENTAL;PZ4;PZ3;91062407;TRAMO 1;"instalación de tuberia en concreto de 12"" extrareforzado";2
6159;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;1 212.00;1 220.00;1006372;NP-177;"RELLENO EN TRITURADO DE 3/4"" (INCLUYE TRANSPORTE, SUMINISTRO, EXTENDIDO A MAQUINA Y COLOCACION)";M3;8;1;0.094;0.75;93985;70489;OCCIDENTAL;PZ4;PZ3;91062407;TRAMO 1;recubrimiento de tuberia con material triturado;2
6160;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;1 212.00;1 220.00;1006372;NP-036;SUBBASE GRANULAR CLASE C PARA REDES (SBG_C) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN);M3;8;1;0.188;1.5;102692;154038;OCCIDENTAL;PZ4;PZ3;91062407;TRAMO 1;recubrimiento de tuberia con material tipo sbg-c;2
6161;12;57;6.REDES DE ACUEDUCTO;IDU;1110;1124;1001082;6.12.;"TUBERIA PVC D=12"" TIPO U.M. RDE 21 (Suministro e Instalación)";ML;14;0;0;14;312679;4377506;ORIENTAL;CLL181;CLL182;91062397;TRAMO 1;instalación de nodos de 22.5 en tuberia pvc;2
6162;12;56;6.REDES DE ACUEDUCTO;IDU;1116;1117;1001082;6.20.;"CODO HD 22.5° EXTREMO LISO PARA PVC D=12"" (Suministro e Instalación)";UN;2;0;0;2;1164620;2329240;ORIENTAL;CLL181;CLL182;91062397;TRAMO 1;instalación de nodos de 22.5 en tuberia para acueducto;2
6163;12;56;6.REDES DE ACUEDUCTO;IDU;1116;1117;1001082;NP-124;"UNION PVC TIPO U.M. D= 12"" (Suministro e Instalación)";UN;2;0;0;2;609995;1219990;ORIENTAL;CLL181;CLL182;91062397;TRAMO 1;instalación de uniones de pvc para acueducto;2
