registro;acta;semana;capitulo;competencia;abs_inicial;abs_final;civ;item;descripcion;und;longitud;ancho;espesor;cantidad;valor_unitario;costo_directo;calzada;tramo_inicio;tramo_final;pk_id;tramo;observaciones;contrato_id
48921;71;267;4.ESPACIO PUBLICO;IDU;1612;1626;1000629;4.09.;SARDINEL TIPO A10 (Suministro e Instalación. Incluye 3cm Mortero 2000 PSI);ML;11;0;0;11;57235;629585;ORIENTAL;Calle 186;Cra 9;141258;TRAMO 2;Instalación de sardinel A-10 de confinamiento contr predio-ABS:1,612.00-1,626.00;2
48920;71;267;4.ESPACIO PUBLICO;IDU;1612;1626;1000629;4.08.;BORDILLO PREFABRICADO A80 (Suministro e Instalación. Incluye 3cm Mortero de Nivelación 1:5);ML;10.6;0;0;10.6;45803;485512;ORIENTAL;Calle 186;Cra 9;141258;TRAMO 2;Instalación de bordillo A80 longitudinal y transversal -ABS:1,612.00-1,626.00;2
48918;71;267;4.ESPACIO PUBLICO;IDU;1612;1626;1000629;4.04.;PISOS EN LOSETA PREFABRICADA A55 TÁCTIL ALERTA Y/O A56 GUIA 40x40x6 cm. SUMINISTRO E INSTALACIÓN. (INCLUYE 4cm DE MORTERO 1:5 HECHO EN OBRA PARA BASE Y ARENA DE PEÑA PARA SELLO).;M2;4.04;0.4;0;1.62;72505;117458;ORIENTAL;Calle 186;Cra 9;141258;TRAMO 2;Instalación de loseta táctil guía A56 transversal -ABS:1,612.00-1,626.00;2
48917;71;267;4.ESPACIO PUBLICO;IDU;1612;1626;1000629;4.04.;PISOS EN LOSETA PREFABRICADA A55 TÁCTIL ALERTA Y/O A56 GUIA 40x40x6 cm. SUMINISTRO E INSTALACIÓN. (INCLUYE 4cm DE MORTERO 1:5 HECHO EN OBRA PARA BASE Y ARENA DE PEÑA PARA SELLO).;M2;4.04;0.4;0;1.62;72505;117458;ORIENTAL;Calle 186;Cra 9;141258;TRAMO 2;Instalación de tableta táctil de advertencia A55 transversal -ABS:1,612.00-1,626.00;2
48916;71;267;4.ESPACIO PUBLICO;IDU;1612;1626;1000629;4.03.;PISO EN ADOQUIN DE CONCRETO A25 20x10x6cm (Suministro e Instalación. Incluye Base 3cm Arena Nivelación y Arena de Sello);M2;1.43;4.04;0;5.78;54194;313241;ORIENTAL;Calle 186;Cra 9;141258;TRAMO 2;Instalación de adoquín en concreto costado sur de calle 186-ABS:1,612.00-1,626.00;2
48874;71;269;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;885;887.5;1001300;7.01.;EXCAVACION MANUAL PARA REDES PROFUNDIDAD 0m - 2m (Incluye Cargue);M3;2.52;1.18;1.85;5.5;23261;127936;OCCIDENTAL;KR 9 CL 173 A CL 180;KR 9 CL 173 A CL 180;91062408;TRAMO 1;Excavación manual para construcción de sumidero -ABS:885.00-887.50;2
48856;71;269;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;880;880;1001300;NP-354;"CÁMARA PREFABRICADA EN HDPEAD NO 45.  1200MM CON CHIMENEA DE DN 1200MM RECIBE TUBERÍAS DE DN 1100MM CONCRETO Y 6"" PVC, SALIDA DE DN 1100MM CONCRETO.INCLUYE:  1) SECCIÓN POZO EN HDPEAD Y ESCALERA. 2) INCLUYE SUMINISTRO E INSTALACIÓN). NO INCLUYE CARGUE Y TAPA.";UND;1;0;0;1;16591720;16591720;OCCIDENTAL;Cámara Pozo#12A;Cámara Pozo#12A;91062408;TRAMO 1;Instalación de cámara para pozo #12A-ABS:880.00-880.00;2
48838;71;266;4.ESPACIO PUBLICO;IDU;905;914;1001222;1.03.;EXCAVACION MANUAL EN MATERIAL COMUN. Incluye cargue.;M3;8.2;0.3;0.25;0.61;23261;14189;OCCIDENTAL;KR 9 CL 180 A CL 181;KR 9 CL 180 A CL 181;92086832;TRAMO 1;Excavación manual para instalación de bordillo A80 longitudinal confinamiento espacio público -ABS:905.00-914.00;2
48836;71;266;4.ESPACIO PUBLICO;IDU;905;914;1001222;4.08.;BORDILLO PREFABRICADO A80 (Suministro e Instalación. Incluye 3cm Mortero de Nivelación 1:5);ML;8.2;0;0;8.2;45803;375585;OCCIDENTAL;KR 9 CL 180 A CL 181;KR 9 CL 180 A CL 181;92086832;TRAMO 1;Instalación de bordillo A80 longitudinal confinamiento -ABS:905.00-914.00;2
48821;71;269;8.ETB REDES SECAS;IDU;1929;1934;1000396;8.07.;RELLENO PARA REDES EN SUBBASE GRANULAR B-200 (Suministro, Extendido, Humedecimiento y Compactación);M3;3;0.5;0.96;1.44;59152;85179;CENTRAL;Cj semaforizacion;Pedestal;91042452;TRAMO 2;Instalación y compactacion manual de material con red para recubrimiento de tubería 2∅3-ABS:1,929.00-1,934.00;2
