CAPA,CIV,TRAMO,INFRAESTRUCTURA,COSTADO,UBICACION,ABS_INICIO,ABS_FINAL,CALZADA
120239,CUN12-SEC2,SECTOR 2,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,4000,4150,UNICA
120240,CUN12-SEC2,SECTOR 2,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,4150,4500,UNICA
120241,CUN12-SEC2,SECTOR 2,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,4150,4500,UNICA
120242,CUN12-SEC2,SECTOR 2,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,4150,4500,UNICA
120243,CUN12-SEC2,SECTOR 2,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,4500,4760,UNICA
120244,CUN12-SEC2,SECTOR 2,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,4500,4760,UNICA
120245,CUN12-SEC2,SECTOR 2,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,4500,4760,UNICA
120346,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,7665,7830,UNICA
120347,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,7665,7830,UNICA
120348,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,7665,7830,UNICA
120349,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,7830,8280,UNICA
120350,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,7830,8280,UNICA
120351,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,7830,8280,UNICA
120352,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,8280,8500,UNICA
120353,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,8280,8500,UNICA
120354,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,8280,8500,UNICA
120355,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,8500,9000,UNICA
120356,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,8500,9000,UNICA
120357,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,8500,9000,UNICA
120358,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,9000,9130,UNICA
120359,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,9000,9130,UNICA
120360,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,9000,9130,UNICA
120361,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,9130,9500,UNICA
120362,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,9130,9500,UNICA
120363,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,9130,9500,UNICA
120364,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,9500,9970,UNICA
120365,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,9500,9970,UNICA
120366,CUN12-SEC3,SECTOR 3,BERM DER,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,9500,9970,UNICA
120367,CUN12-SEC3,SECTOR 3,BERM IZQ,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,9970,10000,UNICA
120368,CUN12-SEC3,SECTOR 3,CALZADA,,RUTA CUN 12 SILVANIA - TIBACUY SECTOR 1,9970,10000,UNICA
